singer,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Evgeny Grinko,Spring Drops,0.302,0.0839,-21.942,0.0426,0.995,0.796,0.0901,0.107,175.463
Rihanna,Only Girl,0.789,0.706,-4.233,0.0429,0.112,1.71e-05,0.0586,0.638,125.911
Sam Smith,Dance,0.723,0.653,-6.003,0.0614,0.0821,2.27e-06,0.0824,0.361,124.023
Dua Lipa,No Goodbyes,0.678,0.714,-4.924,0.0408,0.00795,0.0,0.0827,0.307,109.021
Hauser,Waka Waka,0.597,0.906,-6.458,0.0512,0.00653,0.000201,0.356,0.705,127.051
Mark Eliyahu,Silence,0.501,0.195,-9.042,0.0523,0.962,0.00479,0.132,0.248,126.587
Billy Esteban,Dream,0.769,0.751,-4.683,0.0457,0.00764,0.663,0.0933,0.582,119.999
Nuri Serinlendirici,Hemise Toyda,0.684,0.937,-6.1,0.0439,0.327,0.0426,0.143,0.961,103.508
Halsey,Hold Me Down,0.677,0.744,-4.512,0.0882,0.279,0.0,0.119,0.531,145.928
Maroon 5,Daylight,0.657,0.679,-5.511,0.0269,0.00246,0.0,0.211,0.331,120.007
Billie Eilish,Your Power,0.625,0.284,-14.007,0.0819,0.934,0.00031,0.23,0.197,129.631
Beyonce,Single Ladies,0.426,0.584,-5.293,0.296,0.0383,0.0,0.188,0.272,193.437
Post Malone,92 Explorer,0.798,0.733,-4.811,0.0476,0.265,1.25e-06,0.114,0.861,146.046
Evgeny Grinko,Unexpected Finale Somewhere in Lisbon,0.434,0.155,-16.453,0.0394,0.984,0.495,0.12,0.146,128.363
Jacob's Piano,Colors of the Mind,0.397,0.0177,-23.239,0.0436,0.987,0.939,0.102,0.0518,66.256
Hauser,Nocturno,0.311,0.181,-17.108,0.043,0.99,0.92,0.131,0.0779,127.814
Beyonce,PURE/HONEY,0.857,0.558,-7.888,0.134,0.0122,4.8e-05,0.288,0.453,123.973
Rihanna,Man Down,0.479,0.906,-4.03,0.188,0.0406,0.0,0.051,0.536,155.887
Hiss,Mars,0.787,0.492,-10.198,0.139,0.771,0.0,0.101,0.285,106.991
Jacob's Piano,saman,0.292,0.112,-24.659,0.0529,0.982,0.891,0.107,0.208,111.883
Alan Walker,Extremes,0.618,0.678,-6.307,0.0646,0.00361,0.0,0.0693,0.394,122.212
Sam Smith,Forgive Myself,0.758,0.155,-10.252,0.0447,0.917,0.0,0.116,0.207,122.026
Alan Walker,Out Of Love,0.677,0.723,-5.474,0.107,0.318,0.0,0.232,0.366,150.11
Maroon 5,Leaving California,0.501,0.704,-5.64,0.0326,0.284,0.0,0.155,0.27,97.039
Sam Smith,Young,0.657,0.19,-9.046,0.367,0.651,0.0,0.328,0.406,118.421
Katy Perry,Pearl,0.559,0.577,-6.279,0.0381,0.127,0.0,0.31,0.219,116.126
Beyonce,Speechless,0.568,0.282,-10.225,0.0313,0.158,0.00258,0.182,0.103,112.708
Rihanna,Unfaithful,0.588,0.391,-8.607,0.0334,0.839,0.0,0.227,0.349,144.069
Billie Eilish,listen before I go,0.319,0.0561,-23.023,0.045,0.935,0.00384,0.388,0.082,79.764
Beyonce,Rocket,0.495,0.403,-9.732,0.299,0.499,0.0,0.7,0.563,140.365
Rihanna,Higher,0.292,0.567,-4.191,0.0416,0.112,1.01e-06,0.119,0.392,153.199
Beyonce,Naughty Girl,0.588,0.461,-8.686,0.161,0.237,1.54e-05,0.0913,0.659,200.053
Post Malone,Broken Whiskey Glass,0.512,0.673,-7.359,0.0523,0.289,3.04e-06,0.126,0.11,99.84
Beyonce,Kitty Kat,0.81,0.386,-7.846,0.311,0.0529,0.00944,0.0969,0.506,157.919
Sam Smith,Too Good At Goodbyes,0.681,0.372,-8.237,0.0432,0.64,0.0,0.169,0.476,91.873
Halsey,3AM,0.385,0.871,-4.604,0.0795,0.00906,0.0,0.579,0.538,189.76
Mark Eliyahu,The Firebird,0.545,0.762,-4.503,0.0355,0.646,0.0,0.161,0.568,126.02
Halsey,The Tradition,0.389,0.261,-7.606,0.0317,0.781,0.0,0.111,0.24,154.507
Ava Max,Ghost,0.715,0.931,-3.548,0.0426,0.00573,0.00185,0.0549,0.615,119.971
Rihanna,Love On The Brain,0.509,0.637,-4.83,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006
Maroon 5,Help Me Out,0.934,0.564,-4.806,0.0638,0.461,1.84e-05,0.101,0.543,115.092
Beyonce,Disappear,0.492,0.348,-10.676,0.0301,0.128,0.0,0.326,0.206,78.412
Charlie Puth,Empty Cups,0.77,0.555,-6.361,0.0754,0.224,1.78e-06,0.0754,0.776,100.035
Sam Smith,Omen,0.435,0.203,-8.426,0.0359,0.965,8.11e-05,0.101,0.182,100.67
Billy Esteban,Mace Mace,0.697,0.804,-5.881,0.0541,0.000988,0.822,0.0869,0.589,122.004
